spp_code,stories,below_crown_height,height,estimated_height,DBH
14987,over,580,1060,953,13
14987,over,,,1197,25
14987,over,,,1031,16
14987,over,,,1007,15
14987,over,450,770,924,12
14987,over,,,817,9
14987,over,,,856,10
14987,over,,,723,7
14987,over,510,1070,1149,22
14987,over,,,773,8
14987,over,440,760,856,10
10948,under,260,490,721,7
15003,over,,,501,6
15003,over,,,544,7
15003,over,,,614,9
15003,over,,,614,9
15003,over,,,670,11
15003,over,,,544,7
15003,over,,,581,8
15003,over,,,501,6
15003,over,,,544,7
15003,over,270,420,581,8
15003,over,,,544,7
15003,over,,,717,13
15003,over,,,581,8
15003,over,,,544,7
15003,over,,,544,7
15003,over,480,790,757,15
15003,over,,,581,8
15003,over,,,670,11
15003,over,,,644,10
15003,over,,,614,9
15003,over,,,501,6
15003,over,,,501,6
15003,over,,,501,6
15003,over,,,544,7
15003,over,,,501,6
15003,over,,,501,6
15003,over,,,808,18
15003,over,,,581,8
15003,over,,,544,7
15003,over,,,501,6
15003,over,,,670,11
15003,over,,,581,8
15003,over,,,501,6
15003,over,,,501,6
15003,over,,,501,6
15003,over,,,501,6
15003,over,,,695,12
15003,over,,,581,8
15003,over,,,544,7
15003,over,,,581,8
15003,over,,,544,7
15003,over,,,544,7
15003,over,420,730,717,13
15003,over,,,544,7
15003,over,,,544,7
15003,over,,,544,7
15003,over,,,581,8
15003,over,400,700,544,7
15003,over,350,620,501,6
14994,over,,,897,24
14994,over,,,677,11
14994,over,,,677,11
14994,over,,,764,15
14994,over,330,680,701,12
14994,over,,,549,7
14994,over,,,724,13
14994,over,,,831,19
14994,over,390,850,587,8
14994,over,,,764,15
15003,over,,,614,9
15003,over,,,644,10
15003,over,,,544,7
15003,over,,,501,6
15003,over,,,614,9
15003,over,360,680,644,10
15003,over,310,600,670,11
15003,over,,,614,9
15003,over,,,717,13
15003,over,460,740,775,16
15003,over,,,614,9
15003,over,,,501,6
15003,over,,,695,12
15003,over,,,501,6
15003,over,220,390,581,8
22415,over,,,482,6
15003,over,,,757,15
15003,over,,,544,7
15003,over,,,792,17
15003,over,330,680,644,10
15003,over,,,501,6
15003,over,,,644,10
15003,over,340,650,695,12
15003,over,260,570,614,9
15003,over,,,695,12
15003,over,380,790,757,15
15003,over,,,544,7
15003,over,280,540,544,7
15003,over,,,757,15
15003,over,,,501,6
15003,over,280,490,501,6
15003,over,390,670,738,14
22415,over,,,482,6
22415,over,220,340,524,7
15003,over,290,480,670,11
15003,over,340,700,695,12
15003,over,,,544,7
15003,over,,,670,11
15003,over,,,544,7
15003,over,,,670,11
15003,over,,,717,13
15003,over,,,614,9
15003,over,,,614,9
15003,over,,,614,9
15003,over,,,775,16
15003,over,,,581,8
15003,over,,,644,10
15003,over,,,644,10
15003,over,,,889,24
15003,over,,,644,10
15003,over,,,581,8
15003,over,,,670,11
15003,over,,,738,14
15003,over,,,581,8
15003,over,,,644,10
15003,over,,,501,6
15003,over,,,501,6
15003,over,320,680,695,12
15003,over,,,581,8
15003,over,,,644,10
15003,over,,,717,13
15003,over,,,695,12
15003,over,,,544,7
6517,over,,,482,6
6517,over,,,524,7
6517,over,,,620,10
15003,over,,,501,6
15003,over,,,670,11
15003,over,,,877,23
15003,over,,,581,8
15003,over,410,750,775,16
15003,over,,,581,8
15003,over,,,581,8
15003,over,350,720,614,9
15003,over,360,680,544,7
15003,over,420,740,717,13
15003,over,,,717,13
15003,over,,,695,12
15003,over,,,544,7
15003,over,,,581,8
15003,over,,,581,8
15003,over,,,670,11
15003,over,,,581,8
15003,over,,,695,12
15003,over,,,501,6
15003,under,,,501,6
15003,over,,,581,8
15003,over,360,790,851,21
15003,over,,,670,11
15003,over,,,644,10
15003,over,,,501,6
15003,over,,,614,9
15003,over,,,544,7
15003,over,390,580,581,8
15003,over,320,550,501,6
15003,over,,,501,6
15003,over,370,640,670,11
15003,over,,,581,8
15003,over,380,650,644,10
15003,over,,,501,6
15003,over,,,501,6
15003,over,,,581,8
15003,over,,,544,7
15003,over,,,757,15
15003,over,,,501,6
15003,over,,,501,6
6517,over,230,650,524,7
6517,over,,,482,6
8931,over,,,560,8
6517,over,,,560,8
6517,over,,,592,9
15003,over,,,717,13
15003,over,,,614,9
15003,over,,,614,9
15003,over,,,717,13
6517,over,,,560,8
15003,over,,,544,7
15003,over,,,614,9
15003,over,,,644,10
15003,over,360,590,544,7
15003,over,,,501,6
15003,over,,,544,7
15003,over,,,614,9
15003,over,,,823,19
15003,over,,,717,13
15003,over,,,544,7
15003,over,,,581,8
15003,over,,,581,8
15003,over,,,581,8
15003,over,,,644,10
15003,over,,,614,9
15003,over,,,581,8
15003,over,,,581,8
15003,over,,,501,6
15003,over,,,544,7
15003,over,,,544,7
15003,over,,,581,8
15003,over,,,501,6
15003,over,,,644,10
15003,over,,,670,11
15003,over,380,610,614,9
15003,over,,,670,11
15003,over,,,501,6
15003,over,,,544,7
15003,over,,,695,12
15003,over,,,544,7
6517,over,,,524,7
6517,over,,,620,10
6517,over,470,650,560,8
6517,over,,,560,8
6517,over,,,524,7
8931,over,,,711,14
8931,over,260,510,560,8
8931,over,,,620,10
6517,over,,,524,7
12904,over,,,620,10
12904,over,,,646,11
12904,over,,,592,9
12904,over,380,660,646,11
12904,over,,,560,8
12904,over,,,646,11
12904,over,,,592,9
6517,over,,,592,9
6517,over,,,592,9
6517,over,,,482,6
15003,over,410,950,775,16
15003,over,360,940,738,14
15003,over,,,614,9
15003,over,,,614,9
