spp_code,stories,below_crown_height,height,estimated_height,DBH
15003,over,,,1115,18
15003,over,,,1018,14
12230,over,,,836,9
12230,over,,,741,7
15014,over,,,1222,19
15014,over,,,1199,18
15014,over,,,1263,21
15014,over,,,1301,23
15014,over,,,1243,20
15014,over,550,1280,1319,24
15014,over,520,1310,1352,26
15014,over,,,1412,30
15014,over,,,1199,18
15014,over,500,1270,1412,30
15014,over,,,1176,17
15014,over,,,1222,19
15014,over,,,1176,17
15014,over,,,1368,27
15014,over,540,1150,1151,16
15014,over,,,1151,16
15014,over,,,1222,19
15014,over,,,1199,18
15014,over,,,1199,18
15014,over,,,1064,13
15014,over,,,1263,21
15014,over,,,1222,19
15014,over,720,1310,1283,22
15014,over,,,1176,17
15014,over,,,1176,17
15014,over,,,1243,20
15014,over,,,1243,20
15014,over,,,1124,15
15014,over,,,1124,15
15014,over,,,1243,20
15014,over,,,1151,16
15014,over,,,1243,20
15014,over,500,1160,1199,18
15014,over,,,1336,25
15014,over,450,1060,1095,14
15014,over,,,1263,21
15014,over,,,1199,18
15014,over,,,1199,18
15014,over,710,1320,1243,20
15014,over,,,1124,15
15014,over,,,1222,19
15014,over,500,1050,1031,12
15014,over,,,1336,25
15014,over,,,1301,23
15014,over,,,1243,20
15014,over,,,1176,17
1008,over,250,450,542,8
11420,over,,,656,8
1008,over,,,507,7
1008,over,,,467,6
1008,over,,,507,7
1008,under,,,507,7
1008,under,,,467,6
1008,over,,,467,6
1008,under,,,542,8
1008,over,,,648,12
1008,over,290,470,668,13
1008,over,,,668,13
1008,over,,,753,18
15003,over,400,920,978,28
15003,over,,,1026,33
15003,over,,,1097,42
15003,over,380,860,703,11
15003,over,390,870,813,16
15003,over,,,1007,31
15003,over,,,1007,31
15003,over,,,1007,31
15003,over,,,988,29
15003,over,410,890,932,24
15003,over,,,1067,38
15003,over,,,1035,34
11541,over,,,614,7
11541,over,,,656,8
11541,over,270,530,693,9
11541,over,,,614,7
11556,over,280,470,726,10
11541,over,240,430,565,6
11541,over,,,693,9
11541,over,,,614,7
11541,over,,,614,7
11541,over,,,693,9
11541,over,,,656,8
11541,over,,,565,6
11541,over,,,565,6
11717,over,,,656,8
11541,over,,,565,6
11541,over,,,614,7
11541,over,,,656,8
11541,over,,,656,8
11541,over,,,565,6
11541,over,,,565,6
11541,over,,,614,7
11541,over,,,614,7
11541,over,,,565,6
11541,over,,,656,8
11541,over,,,726,10
11541,over,,,726,10
11541,over,,,565,6
11541,over,,,757,11
11420,under,,,614,7
11541,over,,,614,7
11420,under,,,565,6
1008,over,290,440,625,11
11541,over,,,565,6
11541,over,,,726,10
11541,over,,,614,7
11541,over,,,565,6
11541,over,,,614,7
11541,over,,,614,7
1959,under,,,833,14
1959,under,,,784,12
11689,over,,,614,7
1008,over,250,820,688,14
1008,over,,,600,10
1008,over,,,507,7
1008,over,,,467,6
1008,over,,,573,9
1008,over,330,460,507,7
1008,over,270,850,648,12
1008,over,490,770,600,10
1008,over,,,600,10
1008,over,,,573,9
1008,over,,,600,10
1008,over,,,507,7
1008,under,,,467,6
1008,over,,,625,11
1008,over,,,507,7
1008,over,,,467,6
1008,over,,,467,6
1008,over,,,467,6
15003,over,,,1110,44
15003,over,,,944,25
15003,over,,,1090,41
15003,over,,,1026,33
15003,over,,,1007,31
11541,over,,,614,7
2024,over,,,656,8
1959,over,,,757,11
11541,over,,,565,6
1959,under,,,656,8
1959,over,,,693,9
1959,over,,,833,14
11689,over,,,656,8
11689,over,,,614,7
1959,over,,,693,9
1959,over,,,565,6
11541,over,,,693,9
11541,over,,,726,10
11541,under,,,614,7
11541,over,,,693,9
11541,over,,,565,6
11541,over,,,614,7
1959,over,,,726,10
11541,over,,,614,7
11541,over,,,565,6
11541,under,,,614,7
1959,over,,,693,9
2024,over,,,565,6
2024,over,,,565,6
22332,under,,,614,7
22332,under,,,614,7
22332,under,,,693,9
22332,under,,,693,9
22332,under,,,693,9
11541,over,,,614,7
1959,over,590,1050,833,14
11541,over,,,614,7
11541,over,270,490,693,9
1959,over,,,565,6
11541,over,,,614,7
11541,over,,,565,6
1959,over,,,784,12
11541,over,,,614,7
11541,over,,,565,6
11556,over,410,800,809,13
18736,over,330,800,656,8
11541,over,,,614,7
11541,over,,,614,7
1959,over,510,1080,809,13
11541,over,,,656,8
18736,over,320,800,757,11
1959,over,,,656,8
11541,over,,,565,6
11541,over,,,656,8
11541,over,,,614,7
11513,over,,,1063,17
11513,over,,,932,12
11513,over,,,780,8
11513,under,,,780,8
11513,over,,,932,12
11513,under,,,780,8
11513,under,,,780,8
11513,over,,,864,10
11513,over,300,890,932,12
11513,over,,,730,7
11513,over,,,730,7
11513,under,,,672,6
11513,over,,,990,14
6512,over,410,790,1011,13
6512,over,,,1067,15
6512,over,,,1139,18
6512,over,,,1235,23
6512,over,570,1290,1235,23
6512,over,,,1218,22
6512,over,,,1284,26
6512,over,500,1310,1160,19
6512,over,,,945,11
6512,over,,,1040,14
6512,over,,,1067,15
6512,over,480,970,1139,18
6512,over,,,1116,17
6512,over,,,1218,22
6512,over,,,1040,14
6512,over,,,907,10
6512,over,,,1160,19
6512,over,590,1350,1218,22
6512,over,,,1160,19
6512,over,,,1390,34
6512,over,,,1218,22
6512,over,330,1160,1092,16
6512,over,600,1200,1284,26
6512,over,,,1200,21
6512,over,,,1268,25
6512,over,,,1284,26
6512,over,,,1139,18
17234,under,,,753,8
7444,over,,,929,13
7444,over,,,1067,19
17234,over,,,1085,20
11717,over,,,834,10
12944,under,,,705,7
17251,under,,,753,8
2024,over,370,580,796,9
11513,over,490,1260,730,7
11513,over,,,932,12
11513,under,,,780,8
11513,over,,,932,12
2024,over,,,796,9
11513,over,210,660,780,8
11513,over,430,790,864,10
11513,over,320,800,990,14
6512,over,,,1011,13
6512,over,,,1116,17
6512,over,,,1218,22
6512,over,430,1080,1092,16
6512,over,,,1218,22
6512,over,,,1218,22
6512,over,410,1320,1268,25
15003,over,,,1499,50
15003,over,,,1458,45
2024,over,,,649,6
2024,over,,,753,8
2024,over,,,753,8
2024,over,,,753,8
2024,over,,,705,7
2024,over,,,753,8
22332,over,,,753,8
2024,over,,,796,9
2024,over,,,705,7
1008,over,,,753,8
12930,over,,,753,8
17055,over,,,705,7
11420,under,,,705,7
11420,under,,,705,7
11420,under,,,705,7
11420,over,,,869,11
11420,over,,,834,10
11420,over,,,796,9
11420,over,,,869,11
22332,over,,,705,7
17215,over,300,870,796,9
7464,over,,,753,8
2024,over,,,796,9
22332,over,,,929,13
22332,over,260,800,929,13
22332,over,,,796,9
2024,over,,,649,6
17234,over,,,1004,16
17215,over,,,1047,18
2024,over,,,796,9
11513,over,,,864,10
12930,over,,,705,7
2024,over,,,1004,16
2024,over,,,705,7
2024,over,,,753,8
2024,over,,,705,7
2024,over,630,1210,1103,21
2024,over,,,981,15
22332,over,,,705,7
22332,over,,,834,10
22332,over,550,1030,900,12
22332,over,,,753,8
2024,over,,,649,6
2024,over,,,834,10
2024,over,,,869,11
2024,over,,,796,9
2024,over,,,869,11
22332,over,,,796,9
22332,over,,,796,9
22332,over,,,929,13
22332,over,,,834,10
22332,over,,,753,8
2024,over,,,705,7
17234,under,,,772,7
11513,over,,,872,9
11513,over,,,1048,14
17234,under,,,772,7
17234,over,,,872,9
17234,under,,,825,8
2261,over,,,914,10
2261,under,,,711,6
17234,over,,,711,6
11513,over,,,986,12
2248,over,,,825,8
2261,under,,,825,8
17234,under,,,772,7
17234,under,,,772,7
11513,over,,,1048,14
11513,over,,,1048,14
11513,over,,,1018,13
22495,over,,,872,9
22495,over,,,986,12
22495,over,,,952,11
17234,under,,,872,9
17234,under,,,772,7
11513,over,,,872,9
11513,under,,,825,8
11513,over,,,1075,15
11513,over,,,914,10
2261,under,,,772,7
6617,over,550,820,914,10
11513,over,,,952,11
17234,over,,,914,10
17234,over,,,914,10
11513,under,,,825,8
11513,over,,,825,8
2248,over,,,872,9
2248,over,,,825,8
6617,over,,,1018,13
6617,over,600,1160,1209,21
17234,over,,,914,10
22332,over,,,771,8
22332,over,,,889,11
22332,over,,,853,10
22332,over,440,960,1004,15
22332,over,,,853,10
22332,over,,,889,11
22332,under,,,814,9
22332,over,,,921,12
22332,over,,,921,12
22332,over,,,889,11
22332,over,,,814,9
22332,over,300,810,951,13
22332,over,,,771,8
22332,over,,,978,14
22332,under,,,814,9
22332,over,,,978,14
22332,over,,,853,10
22332,over,,,889,11
22332,over,,,921,12
11513,over,,,1048,14
11033,over,,,825,8
11033,over,,,872,9
17234,over,,,1125,17
2261,under,,,872,9
17234,under,,,825,8
6591,over,,,1204,20
6591,over,520,990,1183,19
6591,over,,,1161,18
6591,over,,,1031,13
6591,over,530,1000,1060,14
6591,over,380,760,883,9
6591,over,,,1088,15
6591,over,,,1114,16
6591,over,,,1060,14
6591,over,,,963,11
6591,over,,,998,12
6591,over,,,1031,13
6591,over,,,963,11
6591,over,,,1031,13
6591,over,630,1300,1138,17
6591,over,530,980,1114,16
6591,over,,,1138,17
6591,over,,,1060,14
6591,over,,,1242,22
6591,over,930,1210,1293,25
22332,over,,,1028,16
2261,over,,,914,10
11513,over,,,1075,15
22495,over,,,986,12
22495,over,,,1048,14
2248,over,,,1018,13
11513,over,,,872,9
11513,over,,,986,12
11513,over,,,952,11
2261,over,,,825,8
2248,over,,,914,10
2248,over,,,914,10
17234,over,,,711,6
17234,over,,,872,9
12904,over,,,952,11
2261,under,,,772,7
22332,over,,,921,12
22332,over,,,889,11
22332,over,,,921,12
6591,over,500,1220,1138,17
6591,over,,,925,10
6591,over,630,1260,1031,13
6591,over,,,1114,16
6591,over,440,1030,1060,14
6591,over,,,782,7
6591,over,,,720,6
6591,over,460,940,883,9
6591,over,,,925,10
6591,over,,,720,6
6591,over,510,1230,1161,18
22332,over,360,930,853,10
22332,over,,,853,10
22332,over,,,921,12
22332,over,500,1010,921,12
22332,over,,,853,10
22332,over,,,921,12
22332,over,,,1004,15
6591,over,,,925,10
6591,over,,,1114,16
6591,over,740,1440,1204,20
6591,over,,,998,12
11513,over,,,1048,14
2248,over,,,872,9
17234,over,,,952,11
17234,over,,,772,7
6591,over,680,1100,998,12
6591,over,,,1114,16
6591,over,,,835,8
6591,over,600,990,1114,16
6591,over,,,720,6
6591,over,,,1031,13
6591,over,,,998,12
6591,under,,,720,6
6591,over,,,720,6
11513,over,,,872,9
22495,over,,,952,11
17234,over,,,825,8
17234,over,,,872,9
11513,over,,,825,8
11513,over,380,850,825,8
11513,over,,,914,10
17234,over,,,952,11
17234,under,,,711,6
17234,over,,,1018,13
2248,over,,,825,8
17234,over,,,772,7
22332,over,,,771,8
22332,over,,,853,10
22332,over,,,921,12
22332,over,,,853,10
22332,under,,,814,9
22332,over,330,680,771,8
22332,over,,,853,10
22332,under,,,771,8
22332,under,,,664,6
6591,over,440,990,963,11
6591,over,,,1088,15
6591,over,,,1183,19
6591,over,,,1293,25
6591,over,600,1340,1161,18
6591,over,,,883,9
6591,over,530,1010,1114,16
6591,over,,,720,6
6591,over,,,1088,15
6591,over,580,1070,1060,14
6591,over,520,1200,1088,15
6591,over,,,1088,15
6591,over,,,782,7
6591,over,,,963,11
6591,over,,,1138,17
6591,over,420,900,998,12
6591,over,,,963,11
6591,over,,,1060,14
6591,over,400,1040,1204,20
6591,over,540,1000,1031,13
17234,over,,,914,10
17234,over,,,914,10
11513,over,,,986,12
11513,under,,,825,8
11033,over,,,872,9
11513,over,600,1150,1075,15
11513,over,,,1101,16
11513,over,,,914,10
17234,over,,,872,9
17234,over,,,914,10
11033,under,,,772,7
11033,over,,,825,8
17234,over,,,711,6
11513,over,,,914,10
11513,over,,,952,11
22332,over,,,721,7
22332,over,,,853,10
22332,over,410,940,814,9
22332,over,,,951,13
22332,over,,,978,14
22332,under,,,771,8
22332,under,,,814,9
22332,over,,,814,9
22332,over,,,889,11
6591,over,,,925,10
6591,over,420,910,998,12
6591,over,380,800,883,9
6591,over,,,1088,15
6591,over,640,1130,1088,15
6591,over,,,883,9
6591,over,520,1080,1138,17
6591,over,,,1060,14
6591,over,,,1161,18
6591,over,430,1020,925,10
6591,over,520,1060,1114,16
6591,over,,,1138,17
6591,over,,,782,7
6591,over,410,870,782,7
6591,over,650,1040,1060,14
6591,over,,,720,6
14994,over,770,1320,1136,24
14994,over,690,1420,1250,33
14994,over,1000,1180,917,13
14994,over,,,1300,38
14994,over,800,990,1088,21
14994,over,640,1000,1178,27
14994,over,780,1250,1228,31
14994,over,,,1261,34
14994,over,,,1136,24
14994,over,100,1220,968,15
14994,over,,,1121,23
14994,over,,,1165,26
22332,under,,,692,6
14994,over,,,1088,21
14994,over,,,1105,22
22332,under,,,692,6
22332,under,,,692,6
22332,under,,,752,7
22415,under,,,927,11
22332,under,,,752,7
22332,under,,,803,8
6617,under,,,752,7
11038,under,,,752,7
11038,under,,,849,9
11038,under,,,1071,16
6591,over,,,927,11
6591,under,,,849,9
22332,under,,,752,7
6591,over,,,752,7
6591,under,,,692,6
6476,over,1050,1330,1259,26
6476,over,,,1158,20
6476,over,,,1138,19
22332,under,,,849,9
22332,under,,,803,8
22332,under,,,803,8
22332,under,,,803,8
6591,under,,,752,7
6591,over,480,1080,1158,20
6591,under,,,752,7
22332,under,,,752,7
951,under,,,692,6
951,under,,,692,6
16659,under,,,849,9
16659,under,,,927,11
22332,under,,,752,7
6591,over,,,1020,14
22332,under,,,692,6
11038,over,,,1071,16
11038,over,,,991,13
11038,under,,,849,9
11038,over,,,1020,14
11038,over,,,803,8
22415,under,,,960,12
16659,under,,,752,7
22332,under,,,803,8
14994,over,,,1191,28
14994,over,,,1178,27
14994,over,800,1130,1013,17
14994,over,,,1053,19
14994,over,,,1071,20
14994,over,,,1013,17
16659,over,,,890,10
16659,over,,,927,11
22332,under,,,849,9
11038,under,,,803,8
22332,under,,,803,8
22332,under,,,692,6
22332,under,,,692,6
6517,over,,,1314,30
22332,under,,,692,6
22332,under,,,692,6
22332,under,,,692,6
22332,under,,,692,6
11038,over,680,1040,803,8
6591,over,,,849,9
11038,over,600,800,960,12
22332,under,,,692,6
11038,over,,,849,9
11038,over,,,890,10
6591,over,610,1400,1244,25
6591,over,,,1288,28
6591,over,,,890,10
6591,over,,,890,10
17066,under,,,752,7
22332,under,,,803,8
22415,over,,,1095,17
6591,over,,,927,11
17066,over,,,752,7
17066,under,,,692,6
14994,over,760,950,1165,26
14994,over,,,1136,24
14994,over,,,1228,31
14994,over,420,1220,1250,33
14994,over,710,1230,1053,19
14994,over,880,1200,1178,27
15067,under,,,756,8
14987,over,,,1282,34
15067,under,,,707,7
14987,over,960,1740,1384,45
15067,under,,,707,7
11038,under,,,752,7
22332,under,,,752,7
11038,over,,,752,7
11038,under,,,692,6
22332,under,,,752,7
22332,under,,,692,6
14994,over,700,1000,1191,28
14994,over,,,1239,32
14994,over,,,1228,31
14994,over,640,1410,1228,31
22332,under,,,692,6
22332,under,,,752,7
6591,under,,,692,6
6517,over,,,1244,25
22332,under,,,752,7
14994,over,700,980,943,14
6476,under,,,692,6
14994,over,,,1033,18
14994,over,710,1050,1071,20
14994,over,,,968,15
14994,under,,,968,15
14994,under,,,695,7
14994,over,,,1071,20
14994,over,940,1220,1250,33
14994,over,,,991,16
14994,over,420,890,1053,19
14994,over,460,900,1105,22
14994,over,,,991,16
14994,over,,,991,16
14994,over,800,1050,1013,17
14994,over,530,830,968,15
14994,over,,,991,16
14994,over,,,1121,23
14994,over,,,1053,19
14994,over,,,1071,20
14994,over,610,1130,1121,23
14994,over,630,700,857,11
14994,over,,,823,10
14994,over,,,1105,22
14994,over,,,1071,20
14994,over,,,1088,21
14994,over,,,1033,18
14994,over,,,943,14
14994,over,,,1105,22
14994,over,,,1013,17
14994,over,,,1071,20
14994,over,,,991,16
14994,over,,,917,13
14994,over,,,1105,22
14994,under,,,888,12
14994,over,,,888,12
14994,over,,,1033,18
15067,under,,,799,9
16659,under,,,890,10
16659,under,,,803,8
16659,over,510,860,1071,16
16659,under,,,692,6
16659,over,,,803,8
16659,under,,,752,7
16659,under,,,692,6
6476,under,,,803,8
16659,under,,,927,11
6476,over,,,692,6
22415,under,,,890,10
22415,under,,,991,13
14994,over,,,1053,19
14987,over,,,1259,30
14994,over,,,1161,23
14994,over,,,1090,19
15067,under,,,663,6
14987,over,,,1357,39
14987,over,,,1144,22
14994,over,,,1003,15
14994,over,,,1144,22
14994,over,,,1161,23
15014,over,,,720,7
15036,over,,,770,8
15014,over,,,813,9
15014,over,,,813,9
15014,under,,,720,7
15014,over,,,813,9
15014,over,,,720,7
15014,over,440,920,813,9
15014,over,,,813,9
14994,over,,,920,12
15014,over,,,720,7
15036,over,,,950,13
15036,over,420,800,770,8
15014,over,,,770,8
14994,over,520,1160,1109,20
15014,over,,,770,8
14994,over,590,960,1049,17
14994,over,,,888,11
14994,over,,,1127,21
14994,over,630,1210,1259,30
14994,over,,,1027,16
14994,over,,,950,13
14994,over,,,1127,21
14994,over,,,1177,24
14994,over,,,977,14
17064,over,,,822,9
16659,over,,,728,7
16659,over,,,822,9
16659,over,,,822,9
1959,under,,,778,8
16659,over,450,750,728,7
918,over,,,728,7
12230,over,,,897,11
16686,over,,,930,12
12230,over,280,1250,960,13
16659,under,,,778,8
16659,over,,,778,8
16659,over,450,760,861,10
17064,over,,,728,7
16659,over,,,728,7
17064,over,,,778,8
16659,over,,,1102,19
22415,under,,,778,8
22415,over,,,728,7
16686,over,,,728,7
1959,under,,,728,7
12930,over,360,880,1013,15
1959,under,,,778,8
14994,over,,,1247,29
14994,over,,,977,14
14994,over,,,1306,34
14994,over,550,1200,1206,26
14987,over,,,1144,22
14994,over,,,1003,15
14994,over,,,977,14
6476,over,730,1480,1419,32
6476,over,,,1419,32
6476,over,,,1444,34
16659,over,440,1590,1266,29
12404,under,370,640,732,7
7255,over,370,610,902,11
16659,over,70,550,1043,16
16659,under,,,902,11
6476,over,230,1680,1468,36
6476,over,460,1390,1432,33
6476,over,300,1210,1540,43
6476,over,,,1444,34
6476,over,180,1590,1531,42
6476,over,370,1620,1490,38
6476,over,,,1227,20
6476,under,,,851,8
6476,under,,,1018,12
14994,over,,,1173,15
6476,under,,,734,6
6591,over,,,845,9
6591,over,370,1160,1133,19
6591,over,,,1309,30
6591,over,330,1420,1345,33
6591,over,,,748,7
6591,over,,,1345,33
6591,over,,,1133,19
6591,over,,,1189,22
6591,over,,,1223,24
6591,over,580,1240,1189,22
6591,over,,,1189,22
6591,over,,,956,12
6591,over,,,748,7
6591,over,420,970,922,11
6591,over,,,1206,23
6591,over,,,689,6
6591,over,280,920,1042,15
6591,over,,,922,11
14973,over,,,1076,12
14973,over,,,776,6
9580,over,,,1211,25
6617,over,360,1020,1065,17
12930,over,350,1120,1225,26
12930,over,,,1107,19
12930,over,,,826,9
12930,under,,,732,7
22332,under,,,732,7
6517,over,,,934,12
6512,over,620,1060,934,12
6512,over,610,1390,1087,18
22495,over,,,965,13
6512,over,520,1350,1279,30
2235,over,,,902,11
6617,over,600,1160,1087,18
12930,over,,,934,12
12930,over,,,782,8
14994,over,650,1110,1339,22
14994,over,,,1252,18
14994,over,,,1358,23
6476,over,200,1040,1135,16
6476,over,,,1050,13
6476,over,,,797,7
22332,under,,,782,8
22332,under,,,782,8
16659,over,,,866,10
16659,over,,,674,6
14994,over,660,1270,1276,19
14994,over,730,1460,1377,24
14994,over,810,1320,1227,17
14994,over,,,1377,24
14994,over,850,1250,1173,15
14994,over,,,1143,14
14994,over,,,1227,17
14994,over,,,1339,22
14994,over,240,1220,1444,28
14994,over,,,1252,18
14994,over,,,1444,28
14994,over,,,1201,16
14994,over,,,1201,16
14994,over,920,1680,1459,29
14994,over,,,1473,30
6591,over,240,880,987,13
15003,over,,,1377,24
14987,over,,,1276,19
16659,over,,,732,7
22332,over,,,826,9
2235,over,,,992,14
11513,over,,,800,8
15014,over,,,1224,24
15014,over,,,1240,25
15014,over,,,1370,35
15014,over,,,1255,26
15014,over,,,1270,27
15014,over,500,1320,1359,34
15014,over,730,1350,1224,24
15014,over,610,1240,1154,20
15014,over,,,1173,21
15014,over,,,1017,14
15014,over,,,1173,21
15014,over,,,1381,36
15014,over,,,1173,21
15014,over,,,1270,27
15014,over,600,1330,1297,29
15014,over,,,1224,24
15014,over,,,1191,22
15014,over,,,1270,27
15014,over,,,1208,23
15014,over,390,1420,1284,28
15014,over,570,1290,1173,21
15014,over,600,1370,1335,32
15014,over,,,1154,20
15014,over,450,1290,1255,26
15014,over,550,1220,1191,22
15014,over,,,1255,26
15014,over,,,1335,32
15014,over,310,1090,1114,18
15014,over,,,1173,21
15014,over,,,1208,23
15014,over,,,1134,19
15014,over,,,1191,22
15014,over,,,1255,26
15014,over,,,1335,32
15014,over,,,1114,18
15014,over,450,1020,1255,26
15014,over,530,1030,1114,18
15014,over,,,1255,26
15014,over,,,1224,24
15014,over,480,1060,1208,23
15014,over,,,1240,25
15014,over,,,1191,22
15014,over,,,1191,22
15014,over,530,1230,1173,21
15014,over,,,1191,22
15014,over,,,1114,18
15014,over,,,1208,23
15014,over,540,1460,1310,30
15003,over,,,801,8
15003,over,,,1114,18
15003,over,,,1154,20
15003,over,,,1208,23
2024,over,,,923,11
12230,over,,,923,11
10948,under,,,690,6
15014,over,,,1191,22
15014,over,,,1173,21
15014,over,,,1017,14
15014,over,,,1114,18
15014,over,,,1208,23
15014,over,,,1154,20
15014,over,,,1208,23
15014,over,,,1191,22
15014,over,,,1068,16
15014,over,,,1092,17
15014,over,430,920,1092,17
15014,over,,,1323,31
15014,over,,,1173,21
15014,over,400,1060,1224,24
15014,over,,,1043,15
15014,over,,,1224,24
15014,over,,,1134,19
15014,over,400,1010,1017,14
15014,over,,,887,10
15014,over,,,1208,23
15014,over,460,1140,1154,20
15014,over,,,1154,20
15014,over,,,1134,19
15014,over,,,1134,19
15014,over,460,1170,1043,15
15014,over,,,1173,21
15014,over,,,1134,19
15014,over,,,1440,42
15014,over,,,1270,27
15014,over,,,1255,26
15014,over,,,1240,25
15014,over,,,1335,32
15014,under,,,887,10
15014,over,,,846,9
15014,over,,,988,13
15014,over,,,1017,14
2024,over,,,923,11
11513,under,,,749,7
11513,under,,,800,8
2024,over,,,886,10
2024,over,,,923,11
2024,over,,,886,10
15014,over,,,750,7
15014,over,,,750,7
15014,over,,,957,12
15014,over,470,1160,1191,22
15014,over,,,690,6
15014,over,,,690,6
15014,over,450,1210,1255,26
15014,over,,,1173,21
15014,over,,,1191,22
15014,over,,,801,8
15014,over,,,1440,42
15014,over,600,1340,924,11
15014,over,410,1130,1224,24
15014,over,,,1412,39
15014,over,560,1170,1017,14
15014,over,620,1410,1440,42
15014,over,580,1230,1284,28
15014,over,,,1255,26
15014,over,,,1208,23
15014,over,,,1240,25
15014,over,,,1270,27
15014,over,500,1050,1154,20
15014,over,,,1335,32
15014,over,,,1359,34
15014,over,,,1458,44
15014,over,520,890,1114,18
15014,over,,,1402,38
15014,over,600,1390,1323,31
15014,over,,,1323,31
15014,over,,,1310,30
15014,over,,,1224,24
15014,over,,,1323,31
15014,over,,,1323,31
15014,over,,,801,8
15014,over,,,1017,14
15014,under,,,690,6
11513,under,,,800,8
15014,over,,,1240,25
11420,under,,,800,8
11420,under,,,749,7
7255,over,,,886,10
11513,over,,,749,7
11513,under,,,749,7
15014,over,620,1360,1255,26
15014,over,,,1208,23
15014,over,,,1402,38
15014,over,,,1191,22
15014,over,,,1284,28
15014,over,,,1284,28
15014,over,520,1160,1208,23
15014,over,610,1360,1335,32
15014,over,,,1255,26
15014,over,,,1208,23
15014,over,,,1323,31
15014,over,,,1335,32
15014,over,,,1270,27
15014,over,,,1240,25
15014,over,,,1359,34
15014,over,,,1240,25
15014,over,510,1420,1284,28
15014,over,410,1160,1134,19
15014,over,400,1320,1323,31
15014,over,,,1154,20
15014,over,280,930,1068,16
15014,over,,,1323,31
15014,over,,,1323,31
15014,over,,,1323,31
15014,over,430,1160,1191,22
15014,over,,,1208,23
15014,over,480,1140,1224,24
15014,over,,,1134,19
15014,over,,,1284,28
11513,over,330,790,846,9
14987,over,490,1450,1627,39
14987,under,,,1430,25
14987,over,,,1393,23
15003,over,,,1197,18
15003,over,640,1130,1241,20
15003,under,,,1029,12
15003,over,760,1250,1261,21
15003,over,640,1050,1299,23
15003,over,,,1197,18
15003,over,,,1349,26
15003,over,940,1200,1197,18
15003,over,,,1197,18
15003,over,,,1261,21
14994,over,820,1700,1349,26
14987,over,,,1203,15
14987,over,670,1530,1553,33
6591,under,,,997,10
1959,under,,,951,9
1959,under,,,951,9
17066,under,,,775,6
17066,under,,,775,6
11513,under,,,1038,11
17066,under,,,842,7
17066,under,,,842,7
6591,under,,,842,7
17066,under,,,951,9
6476,over,,,1076,12
6476,over,,,1038,11
17066,under,,,900,8
22332,under,,,900,8
834,under,,,900,8
834,under,,,951,9
17066,under,,,775,6
17066,under,,,842,7
17066,over,,,900,8
22415,under,,,997,10
22415,under,,,951,9
16659,over,,,1038,11
17066,under,,,842,7
16659,under,,,1038,11
16659,over,,,997,10
16659,over,,,1038,11
17066,over,,,1038,11
17066,under,,,842,7
17066,over,,,775,6
16659,over,,,842,7
16659,over,,,1038,11
1959,over,,,1110,13
6476,under,,,951,9
6476,under,,,1038,11
17066,under,,,842,7
6476,under,,,997,10
14987,over,720,1820,1710,47
14987,over,710,1280,1447,26
14987,over,590,1370,1373,22
14987,over,,,1258,17
14987,over,790,1330,1393,23
14987,over,,,1525,31
14987,over,840,1380,1480,28
14987,over,,,1308,19
14987,over,,,1331,20
14987,over,1000,1350,1496,29
14987,over,,,1393,23
14987,over,,,1172,14
14987,over,,,1308,19
14987,over,,,1393,23
14987,over,920,1440,1464,27
14987,over,,,1352,21
14987,over,,,1331,20
14987,over,,,1393,23
14987,over,,,1412,24
6476,over,,,1076,12
22332,under,,,842,7
22332,under,,,900,8
6476,over,,,997,10
6476,over,,,997,10
6476,under,,,842,7
6476,under,,,951,9
6476,over,,,1142,14
6476,over,400,950,1275,19
6476,under,,,997,10
14987,over,,,1231,16
14987,over,,,1430,25
14987,over,,,1352,21
14987,over,1240,1870,1650,41
14987,over,,,1172,14
14987,over,,,1284,18
14987,over,,,1308,19
14987,over,900,1500,1539,32
14987,over,1040,1680,1511,30
14987,over,,,1308,19
14987,over,880,1520,1412,24
14987,over,,,1412,24
14987,over,1140,1650,1539,32
14987,over,,,1203,15
14994,over,,,1578,27
6556,over,,,1194,21
6525,over,,,1043,13
6525,over,,,1257,22
6525,over,690,1020,1101,15
6617,over,360,1600,1489,39
8931,over,,,1101,15
12930,over,,,893,9
7444,over,,,975,11
6525,over,,,1043,13
6591,over,420,1070,1156,22
6591,over,590,990,1036,16
6591,over,400,1000,959,13
6591,over,,,987,14
6591,over,,,987,14
6591,over,470,850,896,11
6591,over,,,896,11
6591,over,,,861,10
6591,over,610,1060,1218,26
6591,over,,,861,10
6556,over,660,1200,1155,19
6556,over,350,1270,1247,24
6556,over,,,1035,14
6556,under,,,1213,22
12930,over,440,1190,1218,20
8931,over,510,1140,1152,17
8931,over,,,1369,29
6617,over,780,1850,1409,32
7542,under,,,728,6
6617,over,,,1355,28
8931,over,,,1073,14
8931,over,590,890,936,10
8931,over,,,1218,20
8931,over,430,1230,1355,28
8931,over,,,1218,20
8931,over,,,1238,21
6556,over,,,1213,22
6556,over,,,1213,22
6556,over,600,1060,1035,14
6556,over,,,1194,21
6556,over,,,1194,21
6556,over,710,1230,1155,19
6556,over,,,903,10
6556,over,,,1088,16
6556,over,,,1213,22
6556,over,470,1200,1263,25
6556,over,,,1213,22
6556,over,,,1062,15
6556,over,,,1194,21
6556,over,,,1112,17
6591,over,,,1259,29
6556,over,,,1230,23
6556,over,,,1134,18
6556,over,510,1120,1213,22
